final_eq,max_dd,min_eq
180339.96332540462,-1115.2000000000007,4960.039999999995
152914.9370189612,-1296.0855075021736,4994.759999999997
152590.818658998,-1331.063796958304,4991.7599999999975
170003.00987301135,-998.5200000002515,4696.280000000009
137502.38422496567,-1685.4847155431053,4941.639999999969
148598.17991007914,-1142.4400000000023,4998.519999999997
160772.71063494083,-803.0000000000291,4783.934667309405
138537.19064423922,-1137.6800000000076,4981.319999999991
169132.40472261896,-884.4800000001123,4996.7599999999975
157028.1968474815,-1210.4583357331867,5007.079999999992
145714.63703789408,-968.1168642166085,4925.560000000009
146644.40070369057,-1479.9287184852437,4994.759999999999
156442.20859556808,-1042.9107816812902,4984.759999999989
157843.06640336037,-1780.6301267184172,4949.989796208625
145324.2534991699,-1287.6400000000576,4885.879999999991
124587.14970010576,-1409.0748026376968,4871.399999999975
165105.06658100785,-1747.9511568364978,4512.719999999984
148809.03528335787,-1365.623427942497,4975.759999999998
152727.96190066493,-1106.0720267209308,4938.079999999982
169515.377318479,-987.8983783130825,4840.119999999982
158532.05724927678,-1338.2072152318142,4171.451036709132
160519.0264586816,-920.7432099515863,5136.039999999992
158866.89433562424,-1613.5206793135585,4963.559999999992
155236.0652665307,-1215.167068437644,4920.639999999973
144831.27168736566,-1095.6738991928105,4816.479999999961
156833.35323393802,-1078.4000000001397,4980.76
157324.28998809913,-1708.1579687609774,4890.241660058428
151344.78631918828,-1181.2817819773918,4891.040000000006
151519.6493065862,-1410.9636862716288,4968.59999999999
159343.44012854353,-1381.5637761128892,5066.519999999997
167782.9006673134,-1394.1290102505445,4894.815565402597
165154.6033357271,-1262.8095137526543,4892.800000000001
157233.08197208444,-1229.5200000000368,5006.8800000000065
140921.67542190434,-1454.3522144667368,4784.015565402595
153069.55044145088,-1153.9128681520342,4754.54563257713
152884.4018665172,-1956.5783783137158,4632.439999999906
153111.28152451504,-1209.080000000322,4451.656565153675
181746.12464315497,-1005.47999999905,4928.482659285156
158297.11237509857,-876.0400000002846,4707.62675611553
143651.20225686397,-1109.9599999999937,4405.93580465389
156083.45265071152,-1653.7200000000448,4852.128445020329
145688.3828450634,-1147.9599999999955,4995.759999999998
150758.98973590048,-825.0376769046488,4956.7599999999975
139608.0487980827,-1470.4800000002142,4845.719999999975
150165.70389663338,-2037.775842259085,4971.5599999999895
149524.86783668987,-1559.9350476679683,5137.839999999983
146380.7008577145,-1825.9956483273127,4932.449369374219
157454.79233546305,-1058.3600000000297,4921.1599999999735
144078.42503485366,-1960.9887908875971,4978.0400000000045
146813.38268031427,-1374.440000000206,5002.279999999994
150251.61208959972,-969.6494884240819,4587.780375732382
142234.7261188805,-1359.3325517131307,4924.319999999992
154504.1892634572,-1276.4423548831983,4871.007549492102
159623.47179049975,-1241.4000000000233,4966.6913872251
158501.20787591825,-886.9176704389101,5192.519999999995
144582.38212418213,-1625.8400000001566,4956.279999999998
154116.5403095573,-1394.7600000000675,4916.879999999986
132259.9664526885,-1818.6400000004942,4882.079999999996
154664.75905615563,-1325.2825320320553,4968.800000000002
157895.9064166423,-896.640000000014,4891.039999999962
151875.28591261906,-1343.7603385889524,4878.684111539208
153793.84045614113,-1438.1942884066011,4930.279999999996
163296.0592312753,-1293.040000000081,5011.759999999999
155439.07961692006,-840.6423548832026,5019.519999999999
152719.0162684254,-868.0822174943751,4919.491387225087
158969.1517281404,-1729.000768986094,4889.359999999988
162319.7082448456,-1368.2800000002171,4926.0399999999945
156095.68415980498,-1089.9600000000064,4866.976972094879
155937.30475647005,-1308.6217029190084,4840.959999999977
156994.19793171601,-1438.592450508062,4654.906270764703
152292.29014301032,-1169.1999999999753,4978.76
126234.05367451401,-1151.1922497389314,4986.519999999997
154876.8561783789,-1013.9742514721147,4931.1599999999835
148426.47899628273,-1316.7438536268746,4902.079999999969
150837.5042781666,-1165.000000000051,4949.32
144321.94696540112,-1196.3217819776619,4752.249873281674
154105.1708286984,-1246.8989815398818,4756.991989980001
156879.59380093907,-1799.5166084567645,4930.279999999994
148397.17943714102,-1426.25759565724,4999.759999999997
162629.98398229285,-891.2324737360177,4946.319999999995
138413.0338444352,-1221.2455026757543,4866.366213926084
156255.995715375,-813.5200000000623,5036.7599999999975
154879.11003260955,-1067.0400000000736,4978.482659285164
142738.14422025217,-1169.766602050905,4961.7599999999975
141332.88037112623,-1541.914745881295,4996.599999999997
152330.0133381098,-941.4800000001123,5012.279999999997
156297.72061397854,-1359.7137561022537,4980.519999999995
154785.14756394515,-1147.320000000429,4819.999999999963
155034.1489174403,-806.4799999995739,5005.759999999998
148128.54766091408,-925.2800000000716,4719.919999999992
148664.3700657694,-1107.1705584052834,4892.079999999996
184265.8250514272,-958.6400000000958,4965.084111539256
168544.4570685959,-1067.6778981838725,4963.519999999997
153163.12713919466,-946.5199999993201,4986.279999999995
137556.80539641992,-1286.1600000000326,4895.479999999967
152868.52081970364,-856.5600000000195,4974.519999999999
155184.9234774698,-1087.280000000188,4974.520000000003
151304.09659600133,-1136.29909192599,4883.522659285146
159864.7066166715,-1736.9823775874102,4714.689873281663
152956.60873827906,-1074.1200000000026,4932.039999999998
